country,country_code,year,gdp_per_capita_constant_2015_usd,life_expectancy,log_gdp_per_capita,population,region,income_group,log_gdp_pc
Sierra Leone,SLE,2024,1137.29005673054,61.964,7.03640356827918,8642022.0,Sub-Saharan Africa ,Low income,7.03640356827918
Singapore,SGP,2024,67706.8336149739,83.3463414634146,11.1229423934662,6036860.0,East Asia & Pacific,High income,11.1229423934662
Sint Maarten (Dutch part),SXM,2024,34840.1808966872,76.528,10.4585266231656,43350.0,Latin America & Caribbean ,High income,10.4585266231656
Slovak Republic,SVK,2024,19776.1758069498,78.3707317073171,9.89223325013243,5422069.0,Europe & Central Asia,High income,9.89223325013243
Slovenia,SVN,2024,26134.627203987,82.2853658536585,10.1710164268014,2127400.0,Europe & Central Asia,High income,10.1710164268014
Solomon Islands,SLB,2024,1806.38367324387,70.694,7.4990821550706,819198.0,East Asia & Pacific,Lower middle income,7.4990821550706
"Somalia, Fed. Rep.",SOM,2024,467.269910194415,58.967,6.14690705686585,19009151.0,Sub-Saharan Africa ,Low income,6.14690705686585
South Africa,ZAF,2024,5715.47531469148,66.312,8.6509327424453,64007187.0,Sub-Saharan Africa ,Upper middle income,8.6509327424453
Spain,ESP,2024,29245.2192451729,83.8878048780488,10.283471394692,48848840.0,Europe & Central Asia,High income,10.283471394692
Sri Lanka,LKA,2024,4186.4986638365,77.672,8.3396200224844,21916000.0,South Asia,Upper middle income,8.3396200224844
St. Kitts and Nevis,KNA,2024,21692.2406392872,72.281,9.98470990135725,46843.0,Latin America & Caribbean ,High income,9.98470990135725
St. Lucia,LCA,2024,11854.9517233237,72.846,9.38050092622835,179744.0,Latin America & Caribbean ,Upper middle income,9.38050092622835
St. Vincent and the Grenadines,VCT,2024,9485.18771201686,71.382,9.15748667258097,100616.0,Latin America & Caribbean ,Upper middle income,9.15748667258097
Sudan,SDN,2024,578.38916015625,66.521,6.36024692958362,50448963.0,Sub-Saharan Africa ,Low income,6.36024692958362
Suriname,SUR,2024,7246.2576795921,73.757,8.88824043245564,634431.0,Latin America & Caribbean ,Upper middle income,8.88824043245564
Sweden,SWE,2024,54209.9474264877,84.0634146341463,10.9006197024418,10569709.0,Europe & Central Asia,High income,10.9006197024418
Switzerland,CHE,2024,90067.4645431168,84.4073170731707,11.4083142745328,9005582.0,Europe & Central Asia,High income,11.4083142745328
Tajikistan,TJK,2024,1496.33813395037,71.927,7.31077615836243,10590927.0,Europe & Central Asia,Lower middle income,7.31077615836243
Tanzania,TZA,2024,1120.77416992188,67.212,7.02177494864899,68560157.0,Sub-Saharan Africa ,Lower middle income,7.02177494864899
Thailand,THA,2024,6574.46109387985,76.564,8.79094789077882,71668011.0,East Asia & Pacific,Upper middle income,8.79094789077882
Timor-Leste,TLS,2024,1149.21888298011,67.904,7.04683775838339,1400638.0,East Asia & Pacific,Lower middle income,7.04683775838339
Togo,TGO,2024,931.029965529857,62.935,6.83629146314992,9515236.0,Sub-Saharan Africa ,Lower middle income,6.83629146314992
Trinidad and Tobago,TTO,2024,16312.4849555716,73.617,9.69968604180081,1368333.0,Latin America & Caribbean ,High income,9.69968604180081
Tunisia,TUN,2024,4006.20588267443,76.711,8.2955999084834,12277109.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,8.2955999084834
Turkiye,TUR,2024,15395.0278894893,77.421,9.64179987195094,85518661.0,Europe & Central Asia,Upper middle income,9.64179987195094
Turkmenistan,TKM,2024,8231.49544263659,70.201,9.01572298343872,7494498.0,Europe & Central Asia,Upper middle income,9.01572298343872
Turks and Caicos Islands,TCA,2024,57179.29601876,78.181,10.9539471541314,46535.0,Latin America & Caribbean ,High income,10.9539471541314
Uganda,UGA,2024,986.090145363924,68.487,6.89374777574198,50015092.0,Sub-Saharan Africa ,Low income,6.89374777574198
Ukraine,UKR,2024,2219.04248046875,74.692,7.70483106671904,37860221.0,Europe & Central Asia,Upper middle income,7.70483106671904
United Arab Emirates,ARE,2024,41605.4168670844,83.069,10.6359856509234,10986400.0,"Middle East, North Africa, Afghanistan & Pakistan",High income,10.6359856509234
United Kingdom,GBR,2024,47960.9105761942,81.3868536585366,10.7781415951204,69226000.0,Europe & Central Asia,High income,10.7781415951204
United States,USA,2024,66356.1706750101,78.890243902439,11.10279203732,340110988.0,North America,High income,11.10279203732
Uruguay,URY,2024,18958.6033293537,78.287,9.85001310903206,3386588.0,Latin America & Caribbean ,High income,9.85001310903206
Uzbekistan,UZB,2024,3890.41593075015,72.528,8.26627135396865,36361859.0,Europe & Central Asia,Lower middle income,8.26627135396865
Vanuatu,VUT,2024,2697.09183254533,71.654,7.89992937244708,327777.0,East Asia & Pacific,Lower middle income,7.89992937244708
"Venezuela, RB",VEN,2024,1501.02277449885,72.673,7.31390200440233,28405543.0,Latin America & Caribbean ,Lower middle income,7.31390200440233
Viet Nam,VNM,2024,4017.74604111554,74.736,8.29847633808006,100987686.0,East Asia & Pacific,Upper middle income,8.29847633808006
West Bank and Gaza,PSE,2024,2072.09019517685,69.213,7.63631313292271,5289152.0,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7.63631313292271
Zambia,ZMB,2024,1343.38966380353,66.528,7.20295129874594,21314956.0,Sub-Saharan Africa ,Lower middle income,7.20295129874594
Zimbabwe,ZWE,2024,1417.71894115853,63.064,7.25680447951859,16634373.0,Sub-Saharan Africa ,Lower middle income,7.25680447951859
