"state","state_fips","year","income_pc_thousand","gdp_pc_thousand","unemployment_rate","population"
"Hawaii",15,2020,56.362,54.9598990407492,11.7416666666667,1450090
"Hawaii",15,2021,60.041,58.547423815002,5.96666666666667,1443821
"Hawaii",15,2022,65.809,60.8821210541808,3.24166666666667,1437059
"Hawaii",15,2023,68.993,62.455810324046,2.86666666666667,1435290
"Hawaii",15,2024,72.654,64.045315068264,2.76666666666667,1434578
"Idaho",16,2015,38.909,40.4343785713093,3.90833333333333,1676556
"Idaho",16,2016,39.832,41.149516872514,3.70833333333333,1711867
"Idaho",16,2017,41.914,41.7167236158601,3.18333333333333,1748342
"Idaho",16,2018,43.942,43.5149367355322,2.875,1784493
"Idaho",16,2019,46.44,44.4770090056511,2.88333333333333,1824410
"Idaho",16,2020,50.662,44.2174186850397,5.55,1870566
"Idaho",16,2021,55.926,46.3460889209365,3.55,1919368
"Idaho",16,2022,58.241,47.496044662175,2.85833333333333,1953689
"Idaho",16,2023,59.986,48.0692153518403,3.18333333333333,1982277
"Idaho",16,2024,63.566,49.4820568634175,3.56666666666667,2012190
"Illinois",17,2015,51.171,63.6891559867351,5.99166666666667,12960211
"Illinois",17,2016,51.85,63.857580170016,5.88333333333333,12941372
"Illinois",17,2017,53.989,64.4899629883817,4.95833333333333,12914053
"Illinois",17,2018,56.903,66.1250963706248,4.39166666666667,12877368
"Illinois",17,2019,58.328,66.8224343828204,3.975,12840273
"Illinois",17,2020,61.985,63.5128822096686,9.33333333333333,12764231
"Illinois",17,2021,66.349,67.6506560999473,6.1,12669716
"Illinois",17,2022,69.559,69.1627669020853,4.56666666666667,12621061
"Illinois",17,2023,72.952,69.8903988702742,4.475,12662187
"Illinois",17,2024,75.531,70.7278067908223,4.98333333333333,12712481
"Indiana",18,2015,42.501,51.3719504391693,4.8,6641858
"Indiana",18,2016,43.622,52.2308644284871,4.39166666666667,6671136
"Indiana",18,2017,45.18,53.338697997739,3.525,6703122
"Indiana",18,2018,47.188,54.7021024008302,3.43333333333333,6741293
"Indiana",18,2019,48.727,54.6729969044323,3.31666666666667,6776786
"Indiana",18,2020,52.374,52.9297054781609,7.38333333333333,6800786
"Indiana",18,2021,57.15,56.6832308401898,3.91666666666667,6825172
"Indiana",18,2022,59.844,57.3778810774017,3.06666666666667,6857721
"Indiana",18,2023,62.16,58.0034654060624,3.41666666666667,6902510
"Indiana",18,2024,64.538,59.2747449516534,4.025,6950741
"Iowa",19,2015,45.729,59.1905320201183,3.71666666666667,3142212
"Iowa",19,2016,45.778,59.1733097903312,3.6,3155644
"Iowa",19,2017,47.306,59.0840947037917,3.09166666666667,3167096
"Iowa",19,2018,49.815,59.5643084569974,2.58333333333333,3177156
"Iowa",19,2019,50.237,59.1096268910894,2.65833333333333,3188506
"Iowa",19,2020,53.172,58.61330064757,5.21666666666667,3194867
"Iowa",19,2021,57.117,63.2609127641253,3.88333333333333,3200564
"Iowa",19,2022,62.245,63.1890119133841,2.85,3207401
"Iowa",19,2023,63.297,62.5096196799949,2.95833333333333,3221261
"Iowa",19,2024,66.472,63.8290853042982,3.14166666666667,3234245
"Kansas",20,2015,46.483,54.2184214493584,4.175,2925253
"Kansas",20,2016,47.16,56.2239550874126,4.05,2928355
