"age","female","employed","bachelor","personal_income","high_income","ln_age"
56,0,0,0,0,0,4.02535169073515
26,0,0,0,0,0,3.25809653802148
38,0,0,0,0,0,3.63758615972639
36,0,0,0,0,0,3.58351893845611
44,0,1,1,122400,1,3.78418963391826
28,1,0,0,0,0,3.3322045101752
46,0,0,0,0,0,3.8286413964891
50,0,0,0,9000,0,3.91202300542815
25,0,0,0,88000,0,3.2188758248682
26,0,0,0,0,0,3.25809653802148
58,1,0,1,14900,0,4.06044301054642
46,1,0,0,4800,0,3.8286413964891
36,0,0,0,6000,0,3.58351893845611
32,0,0,0,2300,0,3.46573590279973
36,0,0,0,0,0,3.58351893845611
37,0,0,0,0,0,3.61091791264422
26,0,1,1,55000,0,3.25809653802148
42,0,0,0,0,0,3.73766961828337
56,0,0,1,0,0,4.02535169073515
46,0,0,0,170,0,3.8286413964891
34,0,0,0,0,0,3.52636052461616
34,1,0,0,2600,0,3.52636052461616
51,0,0,0,170,0,3.93182563272433
55,0,0,0,0,0,4.00733318523247
39,1,0,0,0,0,3.66356164612965
30,1,0,0,0,0,3.40119738166216
52,1,0,1,15600,0,3.95124371858143
60,1,0,0,11400,0,4.0943445622221
58,0,0,0,2700,0,4.06044301054642
32,1,0,0,2100,0,3.46573590279973
63,0,0,0,480,0,4.14313472639153
52,1,0,0,0,0,3.95124371858143
63,0,0,0,0,0,4.14313472639153
41,1,0,0,15910,0,3.71357206670431
63,1,0,0,9600,0,4.14313472639153
64,0,0,0,0,0,4.15888308335967
51,0,1,0,55400,0,3.93182563272433
31,0,0,0,1200,0,3.43398720448515
42,1,0,0,600,0,3.73766961828337
47,0,0,0,0,0,3.85014760171006
27,1,0,1,50000,0,3.29583686600433
51,1,0,0,0,0,3.93182563272433
27,0,0,0,1300,0,3.29583686600433
52,0,0,0,20200,0,3.95124371858143
39,0,0,0,5300,0,3.66356164612965
55,1,0,0,14400,0,4.00733318523247
29,1,0,1,0,0,3.36729582998647
37,0,0,0,0,0,3.61091791264422
62,0,0,1,1500,0,4.12713438504509
44,0,0,0,15900,0,3.78418963391826
39,1,0,0,0,0,3.66356164612965
30,0,0,0,43700,0,3.40119738166216
28,0,0,0,28000,0,3.3322045101752
48,0,0,0,0,0,3.87120101090789
32,0,0,0,1200,0,3.46573590279973
30,0,1,0,24000,0,3.40119738166216
63,0,0,0,15600,0,4.14313472639153
56,0,0,0,200,0,4.02535169073515
35,0,0,0,0,0,3.55534806148941
32,0,0,0,0,0,3.46573590279973
57,1,0,0,1700,0,4.04305126783455
39,0,0,0,0,0,3.66356164612965
63,0,0,0,0,0,4.14313472639153
46,0,0,0,0,0,3.8286413964891
27,0,0,0,0,0,3.29583686600433
28,0,0,1,0,0,3.3322045101752
25,0,0,0,44000,0,3.2188758248682
55,0,0,0,0,0,4.00733318523247
59,1,0,0,0,0,4.07753744390572
41,1,0,0,33000,0,3.71357206670431
38,1,0,0,0,0,3.63758615972639
50,0,1,1,31300,0,3.91202300542815
39,0,0,0,0,0,3.66356164612965
25,1,1,0,7800,0,3.2188758248682
63,1,0,0,0,0,4.14313472639153
40,0,0,0,0,0,3.68887945411394
41,1,0,0,5700,0,3.71357206670431
43,0,0,1,0,0,3.76120011569356
50,1,0,0,0,0,3.91202300542815
27,0,0,0,480,0,3.29583686600433
61,1,0,0,0,0,4.11087386417331
34,1,0,0,2600,0,3.52636052461616
25,0,1,1,57000,0,3.2188758248682
27,0,0,0,0,0,3.29583686600433
42,0,0,0,0,0,3.73766961828337
25,1,0,0,26600,0,3.2188758248682
40,0,0,0,0,0,3.68887945411394
28,1,1,0,3640,0,3.3322045101752
33,0,0,0,30500,0,3.49650756146648
40,0,0,0,20000,0,3.68887945411394
42,1,0,1,0,0,3.73766961828337
42,1,1,1,9000,0,3.73766961828337
58,0,0,0,15900,0,4.06044301054642
31,0,0,0,10500,0,3.43398720448515
33,0,0,0,0,0,3.49650756146648
54,1,0,0,0,0,3.98898404656427
25,0,0,0,0,0,3.2188758248682
36,1,1,0,60000,0,3.58351893845611
47,1,0,0,0,0,3.85014760171006
28,0,1,0,43200,0,3.3322045101752
32,0,1,0,26000,0,3.46573590279973
28,0,0,0,20000,0,3.3322045101752
34,1,0,1,0,0,3.52636052461616
58,1,0,0,0,0,4.06044301054642
36,1,1,0,60000,0,3.58351893845611
37,0,0,0,2800,0,3.61091791264422
53,0,0,0,13900,0,3.97029191355212
25,0,0,0,50000,0,3.2188758248682
51,0,0,0,0,0,3.93182563272433
60,1,0,0,1300,0,4.0943445622221
43,1,0,0,2400,0,3.76120011569356
37,1,1,1,24200,0,3.61091791264422
48,1,0,0,0,0,3.87120101090789
34,1,0,0,8000,0,3.52636052461616
28,0,0,0,2400,0,3.3322045101752
52,0,0,0,16800,0,3.95124371858143
37,0,0,0,0,0,3.61091791264422
25,1,0,0,26600,0,3.2188758248682
50,1,0,0,2700,0,3.91202300542815
57,0,0,1,480,0,4.04305126783455
33,1,0,0,600,0,3.49650756146648
54,1,0,0,24000,0,3.98898404656427
49,0,0,0,840,0,3.89182029811063
35,0,0,0,7200,0,3.55534806148941
48,0,0,0,0,0,3.87120101090789
34,0,0,0,0,0,3.52636052461616
25,0,0,0,0,0,3.2188758248682
57,1,0,0,0,0,4.04305126783455
33,0,0,0,25000,0,3.49650756146648
46,0,0,0,0,0,3.8286413964891
26,0,0,0,0,0,3.25809653802148
46,0,0,0,0,0,3.8286413964891
25,0,1,1,10000,0,3.2188758248682
39,0,0,0,0,0,3.66356164612965
26,0,0,1,0,0,3.25809653802148
38,1,0,1,0,0,3.63758615972639
63,0,0,0,4800,0,4.14313472639153
58,1,0,0,6100,0,4.06044301054642
38,0,0,0,1000,0,3.63758615972639
27,0,0,0,0,0,3.29583686600433
26,0,0,0,20000,0,3.25809653802148
28,0,0,0,65000,0,3.3322045101752
46,0,0,0,175000,1,3.8286413964891
37,0,0,0,10000,0,3.61091791264422
48,0,0,0,11200,0,3.87120101090789
27,0,0,0,0,0,3.29583686600433
45,1,0,0,700,0,3.80666248977032
31,0,0,0,21800,0,3.43398720448515
28,0,0,0,0,0,3.3322045101752
46,0,0,0,0,0,3.8286413964891
61,0,0,0,13200,0,4.11087386417331
28,0,0,0,0,0,3.3322045101752
63,0,0,0,0,0,4.14313472639153
56,0,0,0,4700,0,4.02535169073515
61,0,0,0,0,0,4.11087386417331
38,0,0,0,33000,0,3.63758615972639
41,1,0,0,13600,0,3.71357206670431
43,0,0,0,0,0,3.76120011569356
